tweet_index,tweet_id,date,text,phase,emotions,like_count,retweet_count,impression_count,reply_count,gender,org,matched_keywords,gold_problem,gold_emotion,gold_meaning,gpt_avoidance,gpt_confidence,gpt_reasoning
1,1624924753088610309,2023-02-13 00:13:45,@isbankasi Bu depremzede arkadaşın yalan söylediğini mi iddaa ediyosunuz yani bunca görüntüye rağmen? Ne yani sevdikleri enkaz altındayken işi gücü bıraktı iş bankasına nasıl iftira atarım diye mi uğraştı? Yazıklar olsun bi daha kapınızdan geçmem,3,['ofke'],0,0,90,0,male,person,['enkaz'],0,1,1,0,high,"Tweet, duygusal bir tepki ve sorumluluk atfı içeriyor; öfke ve hayal kırıklığı ifade ediliyor."
2,1623460560443408387,2023-02-08 23:15:34,"İLETİŞİM:05318359414

ENKAZ ALTINDA FATİH BAŞEĞMEZ, PRO EKİP YOK, EKİPLER GELİP GİDİYOR, KÖPEK KOKLADI BURADA CANLI VAR DEDİ, BİR EKİP SES OLDUĞUNU TEYİT ETTİ BU AKŞAM

İSKENDERUN HATAY MEYDAN MH YAŞAR DOĞU CADDESİ SAHİL APARTMANI B BLOK @AFADBaskanlik @AKUT_Dernegi @ahbap",1,['notr'],8,8,422,0,male,org,"['enkaz', 'AFAD']",1,0,0,0,high,"Tweet, enkaz altında kalan bir kişi için iletişim bilgisi ve konum paylaşarak yardım çağrısında bulunuyor, bu da problem odaklı başa çıkma stratejisine girer."
3,1624929119464042501,2023-02-13 00:31:06,@zgizemyz @dlraa16 @Istanbul2423 Son durum nedir? İki gün enkaz başında takip ettik fakat sonuç çıkmadı bir türlü ulaşamadılar.,3,"['kaygi', 'uzuntu']",0,0,146,1,male,person,['enkaz'],0,1,0,0,medium,"Tweet, çaresizlik ve endişe duygularını ifade ediyor."
4,1623472288581537793,2023-02-09 00:02:10,Şükürler olsun 71.saatte Bekir amca enkazdan çıkarıldı https://t.co/j2tVshNRr2,2,['minnet'],15,1,2224,0,male,person,['enkaz'],0,1,0,0,high,"Tweet, duygusal bir ifade olan 'şükürler olsun' ifadesiyle kurtarma sevincini dile getiriyor."
5,1622525541461942273,2023-02-06 09:20:08,"@haluklevent Arkadaşımın ailesi enkaz altında lütfen yardım edin 
Odabaşı mahallesi sarızambak sokak no 3 hatay Antakya",1,['uzuntu'],3,5,397,0,male,person,['enkaz'],1,1,0,0,high,"Tweet, enkaz altında kalan bir aile için yardım çağrısı yaparak pratik çözüm arayışı ve duygusal bir yardım isteği içeriyor."
6,1627824808548237313,2023-02-21 00:17:32,"Amasya ırmak kenarında iki güzel yürekli kardeşimiz depremzedeler için müzik çalıyor. Yüreğinize sağlık 🙏🌸

#amasya #deprem #yardım https://t.co/QZXi2dLAJk",4,"['sevgi', 'uzuntu', 'minnet']",71,6,5899,1,male,org,"['#deprem', 'deprem yardım']",0,1,0,0,high,"Tweet, depremzedeler için müzik çalan kişilere duyulan şükran ve takdiri ifade ediyor."
7,1629564261302140930,2023-02-25 19:29:30,Orta da büyük bir acı ve enkaz var. Madem hepimiz bu ülkenin insanlarıyız. O zaman önce yaralamızı o bu şu demeden birlik içerisinde sarıp bu illeri ayağa kaldırmamız lazım. Ondan sonra kim ne diyorsa ne istiyorsa onu desin. Yapmıyorsanızda bu insanları alet etmeyin yeter aq,4,"['ofke', 'arzu']",4,0,189,1,male,person,['enkaz'],1,1,1,0,high,"Tweet, birlik çağrısı yaparak pratik çözüm öneriyor, duygusal bir acı ifadesi içeriyor ve toplumsal sorumluluk vurgusu yapıyor."
8,1622692461960171525,2023-02-06 20:23:25,Osmaniye de yardımlar çok az yapılıyor. Yapılan eylemler çok yavaş ve yetersiz kalıyor. Kaç saat oldu binadan bir kişi bile çıkartamadınız. Lütfen ya yardım edin artık. İçerde yaşayanlar insalar var bulunamayan insanlar var. #deprem #OsmaniyeDeprem #AFAD #afadosmaniye,1,"['uzuntu', 'ofke']",5,1,582,0,female,person,"['#deprem', 'deprem yardım', 'AFAD']",1,1,0,0,high,"Tweet, yardım çağrısı yaparak pratik çözüm arayışında ve duygusal bir çaresizlik ifadesi içeriyor."
9,1622867760983179266,2023-02-07 08:00:00,"@haluklevent Aşağı banazı mah. Taş ocağı sok. Yeşilyurt/Malatya Dışarı da kalmışlar yardıma ihtiyaçları var donuyorlarmış. Battaniye, ısıtıcı, yemek ihtiyaçları var lütfen acil yardım 🙏🙏🙏 @haluklevent @AFADBaskanlik @AfadMalatya",1,['notr'],1,0,13,0,female,person,['AFAD'],1,0,0,0,high,"Tweet, yardım çağrısı yaparak pratik bir çözüm ve kaynak yönlendirmesi içeriyor."
10,1627823195607662592,2023-02-21 00:11:07,"🌒 #Deprem! #Earthquake! 3.9 Ml, 00:01 UTC on water, Turkey (37.9, 37.31) ± 17 km felt to 100 km (in Kahramanmaraş, Onikişubat, Elbistan, Dulkadiroğlu…) by 2.3 million  https://t.co/zxqYroOBm6",4,['notr'],1,1,452,0,male,org,['#deprem'],1,0,0,0,high,"Tweet, depremle ilgili bilgi paylaşımı yaparak pratik çözüm sunuyor."
11,1622406898870886401,2023-02-06 01:28:42,Erzurum'da çok kötü deprem oldu Rabbim yardımcımız olsun,1,['notr'],0,0,364,0,male,person,['deprem yardım'],0,1,0,0,high,"Tweet, duygusal bir ifade olan 'Rabbim yardımcımız olsun' ifadesiyle korku ve çaresizlik duygularını yansıtıyor."
12,1623472471843262464,2023-02-09 00:02:54,"@OguzhanUgur SUDE NUR DURAN 
MELİHCAN DURAN
KADİR DURAN 
SERAP DURAN 
Turgut Reis Mahallesi Filistin Caddesi Taştı Apartmanı No: 2/2  Adıyaman/Merkez
ENKAZ ALTINDA KALDIKLARI SÖYLENİYOR LÜTFEN YARDIM EDİN",2,['notr'],2,7,503,0,female,person,['enkaz'],1,0,0,0,high,"Tweet, enkaz altında kalan kişilerin adresini vererek yardım çağrısında bulunuyor, bu da problem odaklı başa çıkma kategorisine girer."
13,1627826153493766145,2023-02-21 00:22:53,"Az sonra ölmeyeceğine garantin yoksa eğer  ki yok!

O sebeple Allah tan başka taptığınız ne varsa partinizden, malınızdan, paranızdan, eşinizden,işinizden, takımınızdan,çocuğunuzdan, hırsınızdan vazgeçin kalkın tevbe edin,
 ALLAH deyin!

#Hatay #depremoldu #YardımParalarıNerede",4,['ofke'],0,0,416,0,male,person,"['#deprem', 'deprem yardım']",0,0,1,0,high,"Tweet, dini ve ahlaki bir anlam çıkarma ve sorumluluk atfı yaparak insanları tevbe etmeye çağırıyor."
14,1622405394642395136,2023-02-06 01:22:43,Çok kötü elim ayağım titriyor #deprem,1,['uzuntu'],4,0,612,0,male,person,['#deprem'],0,1,0,0,high,"Tweet, deprem sonrası korku ve çaresizlik gibi duygusal ifadeler içeriyor."
15,1624922004531957763,2023-02-13 00:02:50,"@hilal_kaplan De, ama başında bağırma anasını satayım, enkazdan çıkan afetzedenin etrafında bağırma. Ama sen biliyorsun, bilmiyor olamazsın ama ekmeğin buradan geliyor tabi.",3,['ofke'],0,0,10,0,male,person,['enkaz'],0,0,1,0,high,"Tweet, bir kişiye yönelik eleştiri ve sorumluluk atfı içeriyor, bu da meaning_making kategorisine girer."
16,1627832957959344128,2023-02-21 00:49:55,Soğuk ve #depremoldu yardımı kesmeyelim lütfen #arcelik #Philips #profilo #bosh #kumtel #beko #Sony #fakir #eca #sinbo #Hatay #Adiyaman #Kahramanmaras #kilis #Diyarbakir #adanadepremi #Osmaniye #gaziantepdeprem #sanliurfa #malatyadepremi #elazig https://t.co/koxnK5VxpX,4,['notr'],0,0,8,0,male,person,"['#deprem', '#Gaziantep', 'deprem yardım']",1,0,0,0,high,"Tweet, yardımın kesilmemesi çağrısında bulunarak pratik bir çözüm öneriyor."
17,1627827159346585607,2023-02-21 00:26:53,"Uyumaktan, evde kalmaktan korkar mı insan ? Saatler mi durdu yoksa zaman mı ? Zweig'nin bu sözü aklıma geliyor: ""Yarın ne kadar yakın ve ne kadar sonsuzca uzaktı.""
Sen bize yardım et Allah'ım 🙏

#depremoldu 
#Turkey",4,"['kaygi', 'korku', 'uzuntu']",6,0,390,0,male,person,"['#deprem', 'deprem yardım']",0,1,0,0,high,"Tweet, korku ve çaresizlik gibi duygusal ifadeler içeriyor ve dua ederek yardım talep ediyor."
18,1623319285362790400,2023-02-08 13:54:12,"İl Başkanlığı olarak, il başkanımız ve başkan yardımcılarımız, İl  koordinasyon merkezimizin düzenlediği yardım kampanyasına il ve ilçe teşkilatlarımızın yanı sıra Mardin halkından gelen yardımlar toplanarak depremzedelere ulaştırılmak üzere 2. Yardım tırımızda yola çıkmıştır. https://t.co/NtBp7kFWML",1,['notr'],9,4,1189,0,male,org,['deprem yardım'],1,0,0,0,high,"Tweet, yardım kampanyası ve yardım tırının yola çıkması gibi pratik çözüm ve kaynak yönlendirme bilgisi içeriyor."
19,1624922951530184704,2023-02-13 00:06:35,"Bugün enkazede 3 çocuğu ve karısının cesetlerini enkazda bırakarak çıktı.Evlatlarının ilk anda öldüğünü,acı çekmeden öldükleri içinse şükretti  Rabbm sevdiği kullarını yanına aldı, beni niye almadı anlamdım dedi ve üzüldü.Durdum düşündüm,çok boş yaşıyoruz cok",3,['uzuntu'],8,0,419,0,female,person,['enkaz'],0,1,1,0,high,"Tweet, kaybedilen aile üyeleri için üzüntü ve şükretme gibi duygusal ifadeler içeriyor ve aynı zamanda yaşamın anlamı üzerine düşünmeye yönlendiriyor."
20,1627821434323042305,2023-02-21 00:04:08,"21 Şubat 2023 03:00:59 +03
Başdevrişli, Kahramanmaraş, Türkiye
4.0 M - 3 dk önce
#deprem
https://t.co/CbQO2QvUPp",4,['notr'],3,2,1395,0,male,org,['#deprem'],0,0,0,0,high,"Tweet sadece deprem bilgisi ve konum paylaşımı içeriyor, duygusal veya anlam çıkarma ifadeleri yok."
21,1627823736148705280,2023-02-21 00:13:16,"@OguzhanUgur https://t.co/xEkVDnuDzH Sağlıkçı ve kurtarma yetkilileri sahadalar ve asılsız ihbarlar işimizi engelliyor diyorlar. İhbar hattı @AFADBaskanlik 0312 258 23 23 Santral. 
Sosyal medyadan kime hitaben paylaştığın belli olmayan ileti ile neyin peşindesin, kime yararı var?",4,"['onaylamama', 'ofke']",0,0,15,0,male,person,['AFAD'],1,0,0,0,high,"Tweet, AFAD'ın ihbar hattı numarasını paylaşarak pratik bir çözüm ve bilgi sunuyor."
22,1627822312387903489,2023-02-21 00:07:37,"Ceyhan depreminde Adana'da, Marmara depreminde ise İstanbul'daydım. İnşaat mühendisi olma iradesi sanırım bu depremlerde bilinç altıma yerleşti. Mesleğimi seviyorum fakat mühendisin değil parası olanın konut inşa ettiği bir gerçek var. Kalbim acıyor.
#depremoldu #depremhatay",4,['uzuntu'],3,0,809,0,male,person,['#deprem'],0,1,1,0,high,"Tweet, duygusal bir ifade olan 'Kalbim acıyor' ifadesiyle birlikte, inşaat sektöründeki sorunlara dikkat çekerek toplumsal bir anlam çıkarma yapıyor."
23,1624925114784522240,2023-02-13 00:15:11,"📌İzmie Afet Koordinasyon Merkezindeyiz
10 Şubat 

#Kızılay ve #Kadem derneklerimiz ile birlikte depremzede kardeşlerimiz için çalışmalara devam ediyoruz.
Rabbim zor durumda olan kardeşlerimizin yardımcısı olsun.

#TürkiyeTekYürek 
#DevletMilletElele https://t.co/0Lg3KvzowV",3,"['kaygi', 'umut', 'uzuntu']",13,7,156,0,female,person,['deprem yardım'],1,1,0,0,high,"Tweet, depremzedeler için yapılan çalışmaları ve yardım koordinasyonunu belirtirken, aynı zamanda duygusal bir dua içeriyor."
24,1624925705707347976,2023-02-13 00:17:32,"F-16 ile #UFO (Unidentified Flying Object) vurmuşlar!... 

Yalancının!?? 😀

Sen ışık hızıyla samanyolu dahil bütün galaksiyi 1 dakikada dolaş...

Elin ABD'si senin UFO'ları Huron Gölü üzerinde vursun!
 
Hassiktirin lan...🤣🤣 #UFOshotdown #deprem 
https://t.co/91HbCINnHZ",3,['ofke'],6,1,3005,0,male,person,['#deprem'],0,0,0,1,high,"Tweet, ironi ve mizah kullanarak konuyu hafifletiyor ve depremle ilgili bir durumdan uzaklaşıyor."
25,1623019573573218304,2023-02-07 18:03:15,Hatay Antakyada yıkılmayan tek bir bina dahi yok afadın burdan ayrıldığı söyleniyo akut ekipleri yorgunluktan bitmiş durumda hava karardı insanlar çok çaresiz yardım edin😔#Hatay #Antakya,1,['uzuntu'],21,90,4178,6,male,person,['AFAD'],0,1,0,0,high,"Tweet, çaresizlik ve üzüntü gibi duygusal ifadeler içeriyor."
26,1627822084981137408,2023-02-21 00:06:43,Son dakika Hatay Samandağ deprem #samandag #Erdbeben #earthquake #galatvi #depremoldu #helpmijnmanisklusser #deprem #Hatay #canli #sondakika https://t.co/gGujk6ox3t,4,['notr'],0,2,6619,0,female,org,['#deprem'],0,0,0,0,high,"Tweet sadece depremle ilgili etiketler ve bir link içeriyor, herhangi bir duygusal ifade, anlam çıkarma veya problem çözme içermiyor."
27,1627828532247252993,2023-02-21 00:32:20,"@gercek_imam Sn, Lütfi Kaşıkçı 6 Şubatta meydana gelen depremde Hatay'da evinde enkaz altından ikinci gün çıktı. İlk günden beri Hatay'da ve deprem sonrası enkaz çalışmalarında vardı. Kendisi Doktora yapmış İnşaat mühendisi.  Röportaj yapılan alan kapalı Antrepo. Tepkisi gayet normal.",4,['onaylamama'],4,0,262,2,male,person,['enkaz'],0,0,0,0,medium,"Tweet, bir kişinin deprem sonrası durumu ve tepkisi hakkında bilgi veriyor ancak herhangi bir duygusal ifade, anlam çıkarma veya problem çözme içermiyor."
28,1623472345326268416,2023-02-09 00:02:24,"‼️YENİ SES GELİYOR HALA ACİL RT‼️

Şahinbey Mahallesi  haydaraliyev Caddesi Ebrar sitesi E blok kat3 Onikişubat/Kahramanmaraş 
Tel:0542 280 40 19 Yusuf Dilipak

@DepremDairesi @AFADBaskanlik  @AFADHatay @AKUT_Dernegi @ahbap #AFAD #DEPREM #deprem",2,['notr'],13,44,2266,1,male,person,"['#deprem', 'AFAD']",1,0,0,0,high,"Tweet, enkaz altındaki bir kişiye yardım çağrısı yaparak pratik bir çözüm sunuyor."
29,1622408924228976640,2023-02-06 01:36:45,Çok pis Sallandık  adanam Herkese  büyük Geçmiş olsun #DEPREMOLDU,1,['ofke'],1,0,890,0,male,person,['#deprem'],0,1,0,0,high,"Tweet, deprem sonrası geçmiş olsun dileği ile duygusal bir ifade içeriyor."
